x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,Y1
11,3,0.22,2.11,418,3.82,2.94,0.55,19.68,4.25,62.94,4.04,0.03,0.91,16.8
11,2,0.24,2.27,404,4.04,2.86,0.54,19.52,4.28,62.83,3.97,0.03,0.9,16.8
2,2,0.2,2.13,388,3.69,2.72,0.62,19.46,4.22,62.53,3.71,0.04,0.84,16.8
6,2,0.46,3.12,452,2,2.94,0.88,22.11,4.82,61.27,4.48,0.15,1.11,16.9
7,2,0.24,1.9,442,1.94,2.88,0.9,20.9,4.26,61.1,4.86,0.15,0.89,16.9
5,2,0.26,2.44,428,3.82,2.87,0.53,20.74,3.87,63.43,4.13,0.13,0.69,16.9
4,3,0.24,1.76,411,1.62,2.92,0.78,20.98,4.71,62.48,3.95,0.05,1,16.9
5,3,0.07,2.13,409,1.96,2.93,0.72,20.13,4.24,63.61,3.64,0.04,0.94,16.9
9,3,0.7,3.42,421,3.31,2.97,0.75,19.72,4.59,63.37,3.24,0.04,0.89,16.9
10,3,0.45,3.13,401,3.74,2.76,0.67,19.62,3.88,63.09,3.96,0.03,0.99,16.9
11,3,0.33,2.33,376,3.55,2.65,0.67,20.07,4.18,62.7,3.95,0.03,0.88,16.9
11,3,0.24,2.16,363,3.58,2.86,0.66,19.68,4.12,62.29,4.01,0.03,0.99,16.9
12,3,0.36,2.6,421,3.73,2.86,0.59,19.59,4.44,62.75,3.68,0.03,0.8,16.9
1,3,0.29,2.99,403,3.95,2.82,0.59,19.52,4.3,62.68,3.8,0.03,0.9,16.9
1,2,0.24,2.21,415,1.95,2.9,0.74,20.71,4.19,60.8,4.77,0.13,0.9,17
6,3,0.18,2.8,449,1.51,2.88,0.9,22.2,4.85,61.58,4.43,0.14,1.1,17
6,2,0.21,1.72,431,1.85,2.89,0.8,22.16,4.92,61.4,4.86,0.14,1.06,17
8,2,0.34,2.5,465,2.15,2.91,0.93,21.99,4.65,61.84,4.39,0.15,1.04,17
9,2,0.21,1.88,457,1.92,2.91,0.88,22.24,4.77,61.22,4.37,0.15,1.16,17
11,2,0.24,3.67,374,3.72,2.75,0.67,19.89,4.24,62.77,3.92,0.03,0.86,17
12,3,0.63,3.01,396,2.87,2.81,0.76,19.83,4.42,62.8,3.32,0.04,0.91,17
12,3,0.26,2.25,419,3.71,2.93,0.63,19.69,4.44,62.8,3.65,0.03,0.83,17
3,3,0.21,2.6,414,6.02,2.74,0.55,18.63,4.15,62.86,3.54,0.03,0.95,17
3,2,0.28,2.47,403,3.64,2.93,0.65,19.85,4.26,62.96,3.74,0.04,0.93,17
1,2,0.17,2.47,405,2.15,2.88,0.72,21.7,4.66,61.9,4.79,0.11,1.2,17.1
9,2,0.67,3.65,428,1.91,2.94,0.86,22.49,4.98,61.86,4.86,0.11,1.1,17.1
1,2,0.24,1.67,399,2.12,2.85,0.69,21.36,3.89,61.98,4.85,0.11,1.14,17.1
3,3,0.21,1.88,403,1.96,2.89,0.78,22.35,5,61.52,4.19,0.09,0.98,17.1
8,3,0.25,2.72,423,3.57,2.94,0.63,19.67,3.96,63.52,3.93,0.03,0.84,17.1
